,age,weight,exercise_time
0,44,118,192
1,41,161,35
2,46,128,220
3,39,216,57
4,28,116,182
5,58,103,165
6,55,161,107
7,21,188,37
8,55,216,79
9,50,127,267
10,21,160,228
11,43,102,78
12,73,209,44
13,27,165,48
14,21,169,171
15,36,131,194
16,49,171,191
17,69,172,147
18,18,122,271
19,55,157,111
20,19,218,28
21,34,143,24
22,20,116,267
23,20,159,241
24,32,117,181
25,71,103,21
26,21,164,229
27,79,189,38
28,72,149,110
29,26,117,279
30,29,157,91
31,40,168,115
32,78,208,67
33,70,169,172
34,32,163,175
35,61,133,147
36,58,145,164
37,41,158,63
38,69,138,159
39,40,200,78
40,35,112,270
41,80,186,87
42,72,211,100
43,63,158,151
44,74,152,83
45,52,140,187
46,71,136,75
47,27,192,6
48,23,120,264
49,49,149,171
50,61,193,71
51,49,140,280
52,50,109,194
53,60,134,162
54,70,244,18
55,34,101,182
56,60,170,182
57,47,200,105
58,53,122,259
59,69,153,43
60,31,109,164
61,68,109,25
62,41,128,225
63,28,142,215
64,64,154,249
65,31,231,2
66,32,186,187
67,72,207,2
68,55,130,300
69,40,137,238
70,58,113,276
71,79,160,73
72,58,172,61
73,36,198,71
74,69,193,130
75,58,100,280
76,60,199,125
77,69,214,20
78,51,214,76
79,74,156,20
80,74,200,141
81,30,173,175
82,29,119,142
83,18,114,104
84,32,165,109
85,47,213,68
86,73,161,18
87,72,160,120
88,53,108,53
89,32,205,0
90,33,187,188
91,57,125,175
92,29,172,226
93,35,198,156
94,37,147,283
95,30,153,9
96,40,177,215
97,68,164,93
98,55,199,132
99,71,110,16
100,66,159,168
101,26,139,258
102,34,131,225
103,80,216,22
104,49,176,209
105,45,129,183
106,49,130,276
107,56,191,94
108,38,138,170
109,64,159,234
110,19,152,222
111,70,164,154
112,35,180,63
113,32,169,179
114,59,143,288
115,75,182,117
116,80,170,61
117,61,218,65
118,49,172,212
119,32,129,193
120,70,162,100
121,34,206,36
122,20,106,198
123,68,138,153
124,39,113,293
125,75,137,120
126,67,237,17
127,72,162,170
128,36,191,111
129,79,165,2
130,24,236,3
131,60,174,67
132,62,229,22
133,25,183,93
134,28,138,160
135,26,155,91
136,23,127,20
137,65,203,17
138,51,204,28
139,21,156,232
140,63,198,147
141,20,198,152
142,57,198,83
143,28,130,181
144,33,214,38
145,27,148,160
146,41,180,35
147,50,171,113
148,23,116,70
149,24,117,273
150,24,129,247
151,33,152,248
152,64,148,183
153,37,123,90
154,33,168,227
155,34,142,194
156,30,116,24
157,73,225,64
158,80,221,67
159,76,113,37
160,39,124,221
161,64,173,32
162,46,219,3
163,31,101,222
164,55,118,288
165,71,124,15
166,53,158,126
167,49,130,57
168,51,168,61
169,67,202,24
170,28,106,263
171,18,138,235
172,58,199,1
173,72,182,148
174,48,110,186
175,22,180,57
176,59,145,278
177,75,150,79
178,63,101,219
179,47,104,280
180,43,152,21
181,78,223,78
182,32,164,96
183,42,158,173
184,40,127,257
185,62,150,192
186,47,147,213
187,57,117,206
188,35,154,132
189,29,210,49
190,41,117,289
191,43,180,80
192,43,226,43
193,71,131,6
194,29,102,280
195,69,188,153
196,39,135,216
197,74,100,4
198,54,109,219
199,29,119,282
200,69,151,80
201,34,126,161
202,80,238,34
203,18,120,161
204,39,180,98
205,75,110,142
206,75,216,97
207,62,204,31
208,47,200,147
209,29,108,161
210,66,141,214
211,58,174,79
212,70,122,109
213,67,136,113
214,53,127,267
215,59,107,222
216,69,182,177
217,60,208,96
218,62,146,255
219,64,101,66
220,70,153,97
221,30,192,118
222,71,220,67
223,49,163,250
224,27,216,38
225,49,128,300
226,67,112,145
227,74,174,22
228,29,133,264
229,37,208,4
230,30,181,72
231,34,106,51
232,61,112,239
233,54,108,170
234,33,105,242
235,25,126,234
236,75,121,116
237,77,129,110
238,21,114,195
239,64,153,80
240,53,150,275
241,69,106,103
242,44,135,80
243,38,115,128
244,74,161,66
245,57,123,261
246,40,107,86
247,26,133,262
248,78,136,95
249,34,125,250
250,20,185,66
251,64,172,231
252,30,165,256
253,38,108,287
254,68,157,206
255,65,151,19
256,59,188,185
257,32,111,297
258,79,218,55
259,19,197,21
260,72,200,139
261,75,181,139
262,71,139,35
263,51,121,233
264,44,156,274
265,26,156,260
266,65,193,88
267,33,153,103
268,71,166,89
269,22,164,31
270,80,212,16
271,26,163,136
272,20,148,166
273,57,123,157
274,27,162,241
275,47,137,227
276,33,206,93
277,41,203,117
278,44,165,56
279,39,104,221
280,77,197,22
281,69,159,82
282,31,153,41
283,44,147,264
284,43,125,266
285,34,183,189
286,40,100,277
287,58,159,79
288,37,100,163
289,29,141,191
290,60,173,94
291,61,146,181
292,24,168,92
293,51,181,33
294,18,161,85
295,48,135,256
296,29,160,40
297,25,144,174
298,32,215,37
299,57,214,72
300,28,104,139
301,69,208,50
302,24,155,153
303,56,176,207
304,23,113,50
305,30,176,47
306,19,183,160
307,48,119,298
308,67,128,34
309,55,105,13
310,34,119,51
311,51,215,92
312,61,121,72
313,34,146,57
314,74,182,62
315,51,174,184
316,64,132,108
317,33,122,72
318,49,191,41
319,50,125,279
320,75,190,17
321,72,141,90
322,68,209,41
323,18,171,217
324,29,195,54
325,22,137,122
326,64,156,236
327,29,132,249
328,44,164,169
329,52,147,174
330,60,183,33
331,49,216,2
332,29,114,144
333,28,208,54
334,20,144,281
335,58,114,69
336,63,142,178
337,19,177,91
338,21,102,174
339,65,100,18
340,41,158,127
341,27,115,192
342,28,115,249
343,25,111,58
344,26,154,212
345,74,171,17
346,21,168,152
347,48,108,261
348,39,218,13
349,34,204,100
350,63,194,115
351,19,108,262
352,66,169,66
353,26,137,287
354,55,141,245
355,44,125,247
356,43,126,244
357,38,148,241
358,71,166,149
359,66,175,83
360,67,162,92
361,73,183,61
362,30,102,219
363,51,146,300
364,56,140,202
365,25,173,194
366,29,137,50
367,30,187,34
368,23,130,279
369,75,198,121
370,48,144,32
371,61,105,3
372,18,184,119
373,30,137,243
374,71,204,28
375,48,209,76
376,51,204,115
377,22,153,144
378,31,133,276
379,28,214,54
380,66,190,70
381,24,159,167
382,71,113,185
383,73,176,136
384,24,173,185
385,49,137,242
386,67,202,52
387,25,141,253
388,41,107,145
389,61,155,265
390,56,214,65
391,44,132,77
392,80,136,43
393,51,120,3
394,59,149,65
395,70,125,179
396,77,208,100
397,64,178,117
398,79,100,54
399,39,186,151
400,46,160,272
401,67,126,105
402,71,113,73
403,35,134,277
404,74,131,19
405,56,167,246
406,22,109,44
407,56,144,175
408,56,126,287
409,71,114,180
410,65,187,21
411,80,239,8
412,69,108,207
413,53,139,70
414,64,185,120
415,57,182,31
416,43,137,69
417,49,141,242
418,59,122,298
419,50,125,180
420,36,175,96
421,73,162,68
422,71,170,31
423,31,138,291
424,38,116,85
425,20,183,0
426,74,236,23
427,60,132,298
428,33,151,228
429,44,137,160
430,42,103,163
431,35,116,82
432,31,124,129
433,48,128,242
434,72,124,163
435,46,118,56
436,44,129,80
437,34,137,91
438,68,139,205
439,59,146,161
440,69,160,66
441,64,212,113
442,57,123,84
443,23,154,219
444,19,121,115
445,49,156,62
446,71,226,30
447,67,126,165
448,41,202,50
449,35,177,178
450,38,122,46
451,73,170,8
452,23,194,162
453,52,107,120
454,22,146,85
455,69,113,144
456,36,154,256
457,44,176,69
458,64,127,246
459,66,214,92
460,41,131,112
461,43,135,274
462,25,203,92
463,46,165,172
464,57,125,209
465,21,111,282
466,40,140,263
467,52,234,36
468,79,126,17
469,18,115,243
470,48,120,287
471,73,160,2
472,76,169,54
473,33,100,206
474,63,136,189
475,68,188,92
476,28,134,206
477,79,142,89
478,69,177,176
479,36,124,228
480,49,139,101
481,27,136,156
482,42,161,244
483,68,222,45
484,57,166,193
485,77,140,112
486,52,166,132
487,28,144,219
488,76,139,31
489,41,158,263
490,36,196,17
491,45,199,134
492,47,204,98
493,40,110,203
494,50,176,41
495,40,107,208
496,64,136,216
497,28,222,45
498,20,154,86
499,76,173,96
500,71,130,96
501,61,208,70
502,25,231,6
503,51,184,181
504,62,120,145
505,75,139,145
506,21,119,137
507,33,120,265
508,21,138,163
509,25,155,148
510,57,118,216
511,41,143,87
512,28,210,38
513,56,171,65
514,41,146,236
515,52,184,156
516,35,204,118
517,50,127,266
518,31,123,248
519,47,237,25
520,53,181,194
521,75,140,127
522,64,199,119
523,67,184,174
524,45,140,231
525,41,168,78
526,44,102,244
527,60,110,284
528,35,126,297
529,64,138,78
530,29,161,229
531,59,127,35
532,19,182,80
533,65,166,40
534,54,188,126
535,34,184,82
536,21,114,265
537,34,120,237
538,80,168,87
539,51,119,225
540,66,156,154
541,39,179,210
542,32,134,293
543,66,195,49
544,29,100,226
545,72,229,34
546,30,145,179
547,80,229,27
548,54,213,55
549,60,154,73
550,65,199,10
551,18,191,9
552,34,113,296
553,35,199,9
554,46,108,245
555,29,142,203
556,55,111,213
557,48,101,196
558,24,117,35
559,64,111,126
560,47,161,57
561,73,126,43
562,19,166,103
563,36,161,252
564,57,115,186
565,52,137,277
566,66,236,27
567,51,148,140
568,25,146,35
569,63,233,3
570,72,200,107
571,30,209,40
572,41,137,160
573,18,188,128
574,66,203,31
575,65,128,245
576,41,153,62
577,46,128,86
578,70,104,61
579,31,127,261
580,23,192,127
581,79,230,62
582,45,135,143
583,80,127,30
584,59,116,111
585,30,188,61
586,61,179,103
587,22,108,62
588,50,156,87
589,25,108,214
590,38,177,113
591,34,149,260
592,71,229,49
593,32,146,17
594,52,114,273
595,51,122,257
596,23,152,191
597,68,199,87
598,77,112,86
599,62,154,205
600,61,135,13
601,38,128,110
602,24,157,191
603,34,161,36
604,53,185,17
605,71,228,28
606,43,110,131
607,40,141,240
608,68,197,67
609,57,156,238
610,78,187,35
611,57,151,99
612,78,202,81
613,32,106,299
614,40,186,18
615,47,131,297
616,75,119,106
617,63,112,54
618,52,178,134
619,40,144,15
620,65,172,139
621,61,105,159
622,18,141,122
623,38,109,173
624,45,119,258
625,31,133,243
626,49,152,170
627,32,118,85
628,37,100,216
629,63,135,64
630,72,150,157
631,23,203,122
632,65,156,112
633,54,131,290
634,31,168,105
635,65,159,187
636,42,102,236
637,28,137,218
638,46,137,132
639,76,100,79
640,49,133,22
641,36,107,185
642,45,183,130
643,64,191,96
644,43,104,247
645,59,180,103
646,63,200,98
647,35,208,106
648,19,140,28
649,33,118,145
650,54,111,10
651,61,124,173
652,38,139,59
653,33,117,289
654,34,172,4
655,18,138,213
656,19,205,69
657,34,117,191
658,61,175,187
659,60,136,99
660,80,225,55
661,41,204,33
662,51,194,166
663,38,139,182
664,20,171,62
